u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown
-8.0,67.39792570727778,57.36640940638631,55.778457690907906,67.53726623236135,,,
-7.0,67.62440064492499,57.20966506979553,56.14369739220627,67.02621467381898,,,
-6.0,67.1536082127185,57.62795629573431,56.60076009360952,66.51872642843402,,,
-5.0,66.6862321181707,58.0496279745051,57.0612404986715,66.01450895994263,,,
-4.0,66.22227672213528,58.47468748093634,57.52513435421024,65.51357677669311,,,
-3.0,65.76174549237146,58.903141288223665,57.99243650748517,65.01594368037875,,,
-2.0,65.30464103686947,59.3349949204703,58.463140876871805,64.52162278464564,,,
-1.0,64.85096515580415,59.770252889326706,58.937240410867155,64.03062655422764,,,
0.0,64.3648856440239,60.17308517675076,59.419298908777165,63.54753878898429,,,
1.0,63.95390295898174,60.65099408709167,59.89559137695636,63.05865532359474,,,
2.0,63.51051769994294,61.09647970627787,60.37982265013177,62.57770343241356,,,
3.0,63.07056455044227,61.54537300824593,60.86740758540607,62.10012387634591,,,
4.0,62.63404842072257,61.99766617895166,61.35832834819974,61.62593310584931,,,
5.0,62.200985612345264,62.45333815998675,61.85255588848539,61.15515957151821,,,
6.0,61.771432448661045,62.91232610301114,62.35002587897455,60.68787365962321,,,
7.0,61.3456229671899,63.37438848994085,62.850523370551294,60.22433187669598,,,
8.0,61.90636198048531,60.62213155202119,61.27075493002397,60.264029170348245,,,
9.0,62.39444601993808,,61.77360429333125,,63.86770014288438,63.60458573640602,
10.0,62.927939381170845,,62.243326413150115,,63.626825341352614,62.92404529470109,
11.0,68.90637710845029,,62.273343118685254,,63.526621533233104,57.3214881415295,
12.0,,64.47275356334411,62.971293969254404,,,64.47275356334421,62.97129396925435
13.0,,65.01236913684119,63.54375181294253,,,65.01236913684124,63.543751812942524
14.0,,65.55520416804279,64.11914716482181,,,65.55520416804282,64.11914716482178
15.0,,66.1012581346233,64.69746740226216,,,66.10125813462332,64.69746740226209
16.0,,66.65051603273676,65.27868960369273,,,66.65051603273673,65.2786896036927
17.0,,67.20295857978029,65.86278791963704,,,67.20295857978037,65.86278791963697
18.0,,67.75856461099623,66.4497352975747,,,67.75856461099625,66.44973529757469
19.0,,68.31731182395033,67.03950402075392,,,68.31731182395033,67.03950402075391
20.0,,68.87917706498085,67.63206591998954,,,68.87917706498087,67.63206591998957
21.0,,69.44413646292202,68.2273924766011,,,69.44413646292206,68.22739247660111
22.0,,70.01216550447685,68.82545488352989,,,70.01216550447683,68.82545488352994
23.0,,70.5832390848292,69.4262240883866,,,70.58323908482922,69.42622408838675
24.0,,71.15733154682485,70.02967082782756,,,71.15733154682489,70.02967082782757
25.0,,71.73441671449714,70.63576565733597,,,71.73441671449717,70.63576565733597
26.0,,72.3144679236228,71.24447897831138,,,72.31446792362277,71.24447897831138
27.0,,72.89745805062662,71.85578106340688,,,72.89745805062662,71.8557810634069
28.0,,73.48335954050835,72.469642080607,,,73.48335954050842,72.46964208060713
29.0,,74.0721444341459,73.08603211631262,,,74.07214443414594,73.08603211631272
30.0,,74.66378439515788,73.70492119758052,,,74.66378439515788,73.70492119758055
31.0,,75.2582507364184,74.32627931359998,,,75.25825073641838,74.32627931360004
32.0,,75.85551444626552,74.95007643645341,,,75.85551444626546,74.95007643645356
33.0,,76.45554621441354,75.576282541188,,,76.4555462144135,75.57628254118801
34.0,,77.05831645755947,76.2048676252107,,,77.05831645755941,76.20486762521064
35.0,,77.66379534467058,76.8358017270127,,,77.66379534467049,76.8358017270127
36.0,,78.27195282192528,77.4690549442276,,,78.27195282192525,77.46905494422755
37.0,,78.88275863728416,78.10459745102203,,,78.88275863728413,78.1045974510221
38.0,,79.49618236465876,78.74239951482033,,,79.49618236465875,78.74239951482025
39.0,,80.1121614167892,79.38181524380539,,,80.1121614167892,79.38181524380545
