u,LL0_Kp_Sdown,LL1_Kp_Sdown,LLm2_Kp_Sdown,LL2_Kp_Sdown,LL0_Km_Sdown,LL1_Km_Sdown,LLm2_Km_Sdown,LL2_Km_Sdown,LL0_Kp_Sup,LL1_Kp_Sup,LLm2_Kp_Sup,LL2_Kp_Sup,LL0_Km_Sup,LL1_Km_Sup,LLm2_Km_Sup,LL2_Km_Sup,fermi_energy
-8.0,-24.444574108015768,-15.955554208118835,-54.936350312631085,51.44237149915894,-17.72568207423909,-10.685268773543303,-60.24062580415804,46.68114063284301,-3.4529914828036485,2.3475073782768563,-53.43095031263105,52.9477714991589,4.395035285488451,8.802040428203297,-58.735225804158055,48.186540632843,-7.069130128173476
-7.0,-24.65718381938839,-16.247441204507115,-54.98120049613037,51.37695944041787,-17.733176963339613,-10.522638861585591,-60.1389154348216,46.687026208209936,-2.994187929313839,2.6678968960758627,-53.47580049613041,52.88235944041788,3.9298189267349706,8.392699238997405,-58.63351543482158,48.1924262082099,-6.758413395449715
-6.0,-24.1628642000043,-15.838632902786385,-55.029454895812975,51.31497530993211,-18.22797102717199,-10.931656828808373,-60.04044515665942,46.696299466925936,-2.4998683099297234,3.076705197796595,-53.52405489581293,52.820375309932096,3.4350248629026146,7.983681271774594,-58.53504515665942,48.201699466925966,-6.715762569369049
-5.0,-23.66850089130365,-15.4298078390809,-55.08111023716941,51.25642427908979,-18.722735337046547,-11.340659253187935,-59.94523011254756,46.70896872131716,-2.005505001229078,3.4855302615020727,-53.57571023716943,52.76182427908982,2.9402605530279864,7.57467884739506,-58.439830112547575,48.21436872131716,-6.673082127208507
-4.0,-23.17409517541286,-15.020966127968443,-55.13616238159574,51.201310594166834,-19.217468837166145,-11.749646044462967,-59.853284720573086,46.725041436473376,-1.5110992853382847,3.8943719726145276,-53.63076238159571,52.70671059416684,2.4455270529084445,7.165692056120006,-58.34788472057311,48.23044143647329,-6.630372664900626
-3.0,-22.679648309494876,-14.612107881357838,-55.19460628826003,51.14963761101362,-19.71217045516531,-12.158617110603668,-59.7646226903994,46.74452417762,-1.0166524194203082,4.303230219225154,-53.68920628826002,52.65503761101359,1.9508254349092982,6.756720989979299,-58.25922269039946,48.24992417762005,-6.587634765011988
-2.0,-22.185161526710548,-14.203233208584535,-55.25643598487337,51.10140782828493,-20.20683910137759,-12.56757235772565,-59.67925704178841,46.76742256274465,-0.5221656366359816,4.712104891998431,-53.751035984873376,52.606807828284914,1.4561567886969637,6.3477657428573355,-58.1738570417883,48.27282256274459,-6.544868997180816
-1.0,-21.69063603714961,-13.794342216504461,-55.32164452678866,51.056622939299686,-20.70147366808297,-12.976511690004171,-59.59720014364882,46.79374119932253,-0.027640147075028574,5.1209958840785195,-53.81624452678864,52.56202293929962,0.9615222219916024,5.938826410578802,-58.09180014364884,48.29914119932251,-6.5020759185396
0.0,-21.102313740381067,-13.349601715137217,-55.390223920660986,51.01528392888668,-21.102313903649492,-13.349601598524371,-59.51846380014143,46.82348357822639,0.473054730422423,5.534474988116264,-53.8848239206609,52.52068392888687,0.47305472393512654,5.534474988842757,-58.01306380014153,48.328883578226325,-6.438273437294622
1.0,-20.70147366808298,-12.97651169000418,-55.46216496637758,50.97739126897756,-21.690636037149595,-13.794342216504461,-59.44305943951626,46.85665187058721,0.9615222219915918,5.938826410578802,-53.95676496637756,52.48279126897749,-0.027640147075027308,5.120995884078517,-57.937659439516224,48.36205187058726,-6.502075918539604
