u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown
-8.0,70.9645827177761,65.37500430527658,43.80173718895265,51.14404795592104,,,
-7.0,71.21539161236943,65.21130938943458,44.15654066573102,50.65826658232352,,,
-6.0,70.76832799533582,65.62204464448634,44.60258124123222,50.175579613049464,,,
-5.0,70.3240705393739,66.03555250184122,45.05145655552789,49.69568569567998,,,
-4.0,69.88261902346562,66.45183828382218,45.50316568388776,49.218590806536064,,,
-3.0,69.4439727521932,66.87090686544765,45.95770723254293,48.744300478344314,,,
-2.0,69.00813055667915,67.2927626700132,46.4150793394504,48.272819795976154,,,
-1.0,68.57509079593034,67.71740966503887,46.87527967546373,47.80415339255012,,,
0.0,67.88279821781566,67.88279795891947,47.350636012852604,47.35063601733752,,,
1.0,67.71740966503887,68.57509079593035,47.80415339255013,46.87527967546374,,,
2.0,67.29276267001322,69.00813055667915,48.27281979597615,46.4150793394504,,,
3.0,66.87090686544765,69.44397275219322,48.744300478344314,45.957707232542944,,,
4.0,66.4518382838222,69.88261902346561,49.21859080653607,45.503165683887765,,,
5.0,66.03555250184118,70.3240705393739,49.695685695679984,45.05145655552789,,,
6.0,65.62204464448635,70.76832799533585,50.175579613049464,44.602581241232215,,,
7.0,65.21130938943459,71.21539161236944,50.658266582323506,44.15654066573102,,,
8.0,65.37500430527658,70.9645827177761,51.144047955921025,43.80173718895266,,,
9.0,65.87739704612284,,51.61149897904595,,45.03445072244151,71.82477729011804,
10.0,66.42457175247552,,52.045404997466534,,44.790167328983074,71.12693925577948,
11.0,69.77282515534006,,52.45208403489028,,44.27314108539324,67.96415742943097,
12.0,,64.47275356334411,62.971293969254404,,,64.47275356334421,62.97129396925435
13.0,,65.01236913684119,63.54375181294253,,,65.01236913684124,63.543751812942524
14.0,,65.55520416804279,64.11914716482181,,,65.55520416804282,64.11914716482178
15.0,,66.1012581346233,64.69746740226216,,,66.10125813462332,64.69746740226209
16.0,,66.65051603273676,65.27868960369273,,,66.65051603273673,65.2786896036927
17.0,,67.20295857978029,65.86278791963704,,,67.20295857978037,65.86278791963697
18.0,,67.75856461099623,66.4497352975747,,,67.75856461099625,66.44973529757469
19.0,,68.31731182395033,67.03950402075392,,,68.31731182395033,67.03950402075391
20.0,,68.87917706498085,67.63206591998954,,,68.87917706498087,67.63206591998957
21.0,,69.44413646292202,68.2273924766011,,,69.44413646292206,68.22739247660111
22.0,,70.01216550447685,68.82545488352989,,,70.01216550447683,68.82545488352994
23.0,,70.5832390848292,69.4262240883866,,,70.58323908482922,69.42622408838675
24.0,,71.15733154682485,70.02967082782756,,,71.15733154682489,70.02967082782757
25.0,,71.73441671449714,70.63576565733597,,,71.73441671449717,70.63576565733597
26.0,,72.3144679236228,71.24447897831138,,,72.31446792362277,71.24447897831138
27.0,,72.89745805062662,71.85578106340688,,,72.89745805062662,71.8557810634069
28.0,,73.48335954050835,72.469642080607,,,73.48335954050842,72.46964208060713
29.0,,74.0721444341459,73.08603211631262,,,74.07214443414594,73.08603211631272
30.0,,74.66378439515788,73.70492119758052,,,74.66378439515788,73.70492119758055
31.0,,75.2582507364184,74.32627931359998,,,75.25825073641838,74.32627931360004
32.0,,75.85551444626552,74.95007643645341,,,75.85551444626546,74.95007643645356
33.0,,76.45554621441354,75.576282541188,,,76.4555462144135,75.57628254118801
34.0,,77.05831645755947,76.2048676252107,,,77.05831645755941,76.20486762521064
35.0,,77.66379534467058,76.8358017270127,,,77.66379534467049,76.8358017270127
36.0,,78.27195282192528,77.4690549442276,,,78.27195282192525,77.46905494422755
37.0,,78.88275863728416,78.10459745102203,,,78.88275863728413,78.1045974510221
38.0,,79.49618236465876,78.74239951482033,,,79.49618236465875,78.74239951482025
39.0,,80.1121614167892,79.38181524380539,,,80.1121614167892,79.38181524380545
