u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,67.82526113655726,60.96334097182903,57.853335284358764,65.28374018820497,,
-7.0,67.37539161236947,61.371309389434586,58.29654066573103,64.79826658232352,,
-6.0,66.92832799533586,61.782044644486355,58.74258124123222,64.31557961304947,,
-5.0,66.48407053937395,62.195552501841206,59.19145655552789,63.83568569567998,,
-4.0,66.0426190234656,62.611838283822195,59.64316568388776,63.35859080653607,,
-3.0,65.6039727521932,63.030906865447655,60.09770723254294,62.884300478344315,,
-2.0,65.16813055667916,63.45276267001321,60.5550793394504,62.412819795976155,,
-1.0,64.73509079593035,63.87740966503887,61.01527967546374,61.94415339255012,,
0.0,64.18599207990022,64.18599232346372,61.48629030928858,61.48629029685214,,
1.0,63.877409665038854,64.73509079593036,61.94415339255013,61.01527967546374,,
2.0,63.452762670013215,65.16813055667915,62.41281979597615,60.5550793394504,,
3.0,63.03090686544766,65.60397275219319,62.88430047834431,60.09770723254294,,
4.0,62.611838283822195,66.04261902346562,63.35859080653607,59.643165683887766,,
5.0,62.195552501841235,66.48407053937392,63.835685695679985,59.19145655552789,,
6.0,61.78204464448636,66.92832799533585,64.31557961304947,58.742581241232216,,
7.0,61.371309389434614,67.37539161236941,64.7982665823235,58.29654066573102,,
8.0,60.96334097182904,67.82526113655726,65.28374018820496,57.853335284358764,,
9.0,60.55813318939559,68.27793583891778,65.77199358138338,57.41296508310528,,
10.0,60.155679407893814,68.7334145156808,66.26301948383653,56.97542957907575,,
11.0,59.75597256689392,69.19169548896863,66.75681019445796,56.54072782135928,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
20.0,,68.87917706498085,67.63206591998954,,67.63206591998957,68.87917706498087
21.0,,69.44413646292202,68.2273924766011,,68.22739247660111,69.44413646292206
22.0,,70.01216550447685,68.82545488352989,,68.82545488352994,70.01216550447683
23.0,,70.5832390848292,69.4262240883866,,69.42622408838675,70.58323908482922
24.0,,71.15733154682485,70.02967082782756,,70.02967082782757,71.15733154682489
25.0,,71.73441671449714,70.63576565733597,,70.63576565733597,71.73441671449717
26.0,,72.3144679236228,71.24447897831138,,71.24447897831138,72.31446792362277
27.0,,72.89745805062662,71.85578106340688,,71.8557810634069,72.89745805062662
28.0,,73.48335954050835,72.469642080607,,72.46964208060713,73.48335954050842
29.0,,74.0721444341459,73.08603211631262,,73.08603211631272,74.07214443414594
30.0,,74.66378439515788,73.70492119758052,,73.70492119758055,74.66378439515788
31.0,,75.2582507364184,74.32627931359998,,74.32627931360004,75.25825073641838
32.0,,75.85551444626552,74.95007643645341,,74.95007643645356,75.85551444626546
33.0,,76.45554621441354,75.576282541188,,75.57628254118801,76.4555462144135
34.0,,77.05831645755947,76.2048676252107,,76.20486762521064,77.05831645755941
35.0,,77.66379534467058,76.8358017270127,,76.8358017270127,77.66379534467049
36.0,,78.27195282192528,77.4690549442276,,77.46905494422755,78.27195282192525
37.0,,78.88275863728416,78.10459745102203,,78.1045974510221,78.88275863728413
38.0,,79.49618236465876,78.74239951482033,,78.74239951482025,79.49618236465875
39.0,,80.1121614167892,79.38181524380539,,79.38181524380545,80.1121614167892
